date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-18,11.08,11.32,11.29,11.01,22901.6,0.17,1.53,11.338,11.4,11.734,23768.67,26362.07,26617.91
2018-09-17,11.2,11.32,11.12,11.1,15675.4,-0.1,-0.89,11.348,11.466,11.798,25260.79,28655.82,26788.99
2018-09-14,11.44,11.54,11.22,11.17,22208.8,-0.29,-2.52,11.35,11.512,11.858,29058.41,29665.66,27292.98
2018-09-13,11.62,11.73,11.51,11.36,23090.32,-0.04,-0.35,11.446,11.528,11.912,31168.97,30921.98,27533.61
2018-09-12,11.45,12.07,11.55,11.41,34967.23,0.21,1.85,11.458,11.576,11.976,30242.64,30889.83,27645.85
2018-09-11,11.13,11.47,11.34,11.13,30362.18,0.21,1.89,11.462,11.643,12.053,28955.46,28988.12,27061.83
2018-09-10,11.7,11.7,11.13,11.09,34663.52,-0.57,-4.87,11.584,11.733,12.152,32050.85,28682.34,26720.04
2018-09-07,11.46,11.95,11.7,11.35,32761.6,0.13,1.12,11.674,11.865,12.266,30272.91,27855.76,26866.36
2018-09-06,11.46,11.8,11.57,11.3,18458.66,0.0,0.0,11.61,11.923,12.339,30674.99,26431.82,26872.79
2018-09-05,11.83,11.97,11.57,11.56,28531.35,-0.38,-3.18,11.694,12.01,12.405,31537.02,27525.09,28195.73
2018-09-04,11.64,12.28,11.95,11.6,45839.12,0.37,3.19,11.824,12.068,12.469,29020.77,26873.75,29366.73
2018-09-03,11.14,11.65,11.58,11.14,25773.81,0.2,1.76,11.882,12.129,12.568,25313.83,24922.16,29745.22
2018-08-31,11.9,11.91,11.38,11.33,34772.0,-0.61,-5.09,12.056,12.203,12.691,25438.61,24920.31,30645.48
2018-08-30,12.43,12.43,11.99,11.98,22768.8,-0.23,-1.88,12.236,12.295,12.881,22188.66,24145.24,31284.33
2018-08-29,12.25,12.38,12.22,12.18,15950.14,-0.02,-0.16,12.326,12.375,13.036,23513.16,24401.87,33143.28
2018-08-28,12.45,12.5,12.24,12.2,27304.4,-0.21,-1.69,12.312,12.462,13.226,24726.73,25135.54,34781.11
2018-08-27,12.0,12.51,12.45,11.98,26397.7,0.17,1.38,12.376,12.571,13.4,24530.5,24757.74,34532.74
2018-08-24,12.51,12.51,12.28,12.2,18522.24,-0.16,-1.29,12.35,12.666,13.569,24402.01,25876.96,35494.67
